,2015,2016,2017,2018
Bailey,"474,359","458,610","516,860","475,400"
Bandera,"316,070","301,003","307,421","317,383"
Bastrop,"1,742,307","1,741,072","1,782,172","1,881,339"
Baylor,"154,603","145,000","153,031","162,992"
Bee,"915,620","859,747","840,520","839,201"
Bell,"14,928,272","14,401,726","14,599,325","14,886,755"
Bexar,"90,563,914","92,804,535","93,472,254","97,527,759"
Blanco,"287,492","288,614","296,607","299,571"
Borden,"414,473","445,798","476,078","615,821"
Bosque,"606,770","618,864","600,680","603,479"
Bowie,"3,595,173","3,639,773","3,663,972","3,701,177"
Brazoria,"14,734,188","14,789,436","14,863,653","15,588,622"
Brazos,"9,015,522","9,036,851","9,193,538","9,525,806"
Brewster,"354,311","350,778","352,712","374,005"
Briscoe,"62,829","93,654","90,353","95,465"
Brooks,"421,454","356,810","373,637","360,775"
Brown,"1,237,059","1,249,201","1,274,941","1,284,852"
Burleson,"1,063,124","1,024,436","1,251,914","1,498,704"
Burnet,"1,267,335","1,275,662","1,301,004","1,334,951"
Caldwell,"836,699","811,776","843,716","893,669"
Calhoun,"2,072,589","2,003,469","1,770,487","1,861,259"
Callahan,"248,712","243,909","254,920","278,826"
Cameron,"9,544,503","9,659,865","9,737,643","10,011,608"
Camp,"428,638","397,897","403,938","431,406"
Carson,"769,303","837,858","840,262","900,276"
Cass,"752,698","740,258","739,240","766,769"
Castro,"870,206","602,006","704,404","438,483"
Chambers,"2,345,280","2,170,174","2,127,467","2,150,371"
Cherokee,"1,466,988","1,567,759","1,514,989","1,529,074"
Childress,"190,187","203,141","199,541","207,648"
Clay,"240,534","237,128","243,792","251,437"
Cochran,"402,087","416,709","456,528","401,268"
Coke,"169,676","154,385","151,295","151,963"
Coleman,"217,358","220,003","220,129","220,393"
Collin,"50,887,993","53,840,440","56,082,965","59,917,532"
Collingsworth,"89,321","96,979","92,629","101,880"
Colorado,"846,104","805,364","856,080","829,575"
Comal,"4,902,123","5,078,067","5,216,179","5,455,611"
Comanche,"382,919","401,811","436,484","445,661"
Concho,"115,937","108,501","108,603","110,496"
Cooke,"2,535,323","2,428,601","2,494,264","2,603,999"
Coryell,"1,331,267","1,435,756","1,502,471","1,516,686"
Cottle,"89,124","85,504","112,555","95,660"
Crane,"1,421,391","1,268,805","1,194,628","1,136,787"
Crockett,"1,749,465","1,646,013","1,773,441","1,509,126"
Crosby,"276,867","320,323","342,222","346,068"
Culberson,"839,120","1,081,840","1,425,244","1,601,604"
Dallam,"746,969","584,822","598,179","520,975"
Dallas,"220,137,057","226,056,902","233,731,905","241,375,801"
Dawson,"739,721","737,356","843,417","811,433"
Deaf Smith,"1,698,155","1,514,699","1,442,311","1,365,597"
Delta,"98,120","90,641","93,044","94,996"
Denton,"24,950,914","25,964,632","27,383,654","28,354,188"
DeWitt,"9,341,325","8,052,986","7,413,069","7,076,798"
Dickens,"128,837","138,739","140,761","141,052"
Dimmit,"5,830,122","5,069,387","5,753,634","5,908,447"
Donley,"140,346","122,538","158,781","162,840"
Duval,"461,497","423,968","424,967","436,507"
Eastland,"902,658","840,668","915,169","1,096,053"
Ector,"12,169,756","10,773,276","11,722,833","12,844,718"
Edwards,"102,819","106,239","105,270","103,814"
Ellis,"4,757,978","4,910,556","4,939,819","5,263,388"
El Paso,"27,333,138","27,579,722","28,070,265","28,974,082"
Erath,"1,423,892","1,458,608","1,542,395","1,639,702"
Falls,"361,665","378,232","384,311","397,988"
Fannin,"624,023","652,635","683,053","719,113"
Fayette,"1,663,815","1,617,915","1,702,891","1,676,417"
Fisher,"241,192","235,337","233,169","269,140"
Floyd,"275,103","246,891","335,089","331,475"
Foard,"45,757","43,240","46,113","48,701"
Fort Bend,"28,277,968","22,713,161","23,180,856","24,423,084"
Franklin,"410,877","405,561","422,235","447,719"
Freestone,"1,991,526","1,774,119","1,833,862","1,384,485"
Frio,"1,804,483","1,636,444","1,812,542","1,972,828"
Gaines,"3,071,021","3,143,750","3,374,899","3,329,962"
Galveston,"13,438,716","13,923,623","13,991,719","14,227,702"
Garza,"392,575","396,636","394,392","386,173"
Gillespie,"814,218","832,301","829,962","855,051"
Glasscock,"3,227,077","3,419,824","4,188,974","5,445,361"
Goliad,"324,593","315,686","345,439","348,238"
Gonzales,"5,039,799","4,715,861","4,829,309","4,962,433"
Gray,"1,254,277","1,074,164","1,096,956","1,078,311"
Grayson,"4,355,290","4,370,950","4,475,124","4,691,343"
Gregg,"7,851,814","7,432,406","7,554,845","7,899,636"
Grimes,"1,209,368","1,107,248","1,057,200","1,087,331"
Guadalupe,"7,892,978","8,038,245","8,578,658","9,253,418"
Hale,"1,372,721","1,268,627","1,299,060","1,356,731"
Hall,"82,461","83,017","77,221","77,938"
Hamilton,"202,268","207,874","210,996","218,155"
Hansford,"1,022,789","855,907","879,769","945,214"
Hardeman,"205,461","205,436","203,502","193,103"
Hardin,"1,282,714","1,249,286","1,258,985","1,320,027"
Harris,"358,868,375","350,522,882","351,838,302","361,353,488"
Harrison,"4,405,398","4,350,017","4,419,469","4,509,467"
Hartley,"959,518","776,267","901,759","906,563"
Haskell,"192,651","211,294","258,137","298,804"
Hays,"5,428,938","5,709,953","5,969,966","6,291,164"
Hemphill,"1,515,128","1,288,646","1,202,424","1,047,164"
Henderson,"1,567,343","1,569,941","1,643,810","1,680,801"
Hidalgo,"19,570,711","20,007,112","20,381,184","21,017,756"
Hill,"865,074","890,421","907,781","922,510"
Hockley,"2,243,591","2,089,775","2,241,118","2,291,133"
Hood,"1,973,766","1,836,421","2,046,183","2,180,548"
Hopkins,"1,296,179","1,285,413","1,291,824","1,341,445"
Houston,"876,884","846,398","857,637","883,298"
Howard,"3,215,304","3,723,152","5,093,480","6,757,873"
Hudspeth,"145,705","141,134","137,100","149,878"
Hunt,"3,060,806","3,412,827","3,469,900","3,554,755"
Hutchinson,"4,908,939","9,380,312","8,903,931","7,999,065"
Irion,"2,129,169","1,822,057","1,845,890","1,717,353"
Jack,"753,797","624,966","637,510","675,495"
Jackson,"601,370","578,885","637,979","703,860"
Jasper,"1,005,634","956,225","970,666","985,232"
Jeff Davis,"72,827","70,060","72,178","72,768"
Jefferson,"21,956,655","23,478,937","23,759,625","23,729,173"
Jim Hogg,"216,959","226,035","224,393","223,390"
Jim Wells,"1,937,644","1,565,164","1,650,206","1,812,196"
Johnson,"5,934,611","5,730,890","6,142,760","6,166,179"
Jones,"511,267","514,141","514,593","495,732"
Karnes,"11,154,194","10,296,951","12,711,830","13,273,827"
Kaufman,"3,673,450","4,173,953","4,399,554","4,573,275"
Kendall,"1,544,589","1,625,835","1,702,032","1,822,462"
Kenedy,"315,528","278,453","315,603","305,405"
Kent,"413,451","425,760","433,248","429,846"
Kerr,"1,634,397","1,620,694","1,614,033","1,680,749"
Kimble,"162,691","149,140","131,154","133,485"
King,"184,716","214,793","219,301","208,452"
Kinney,"114,591","110,641","113,598","113,457"
Kleberg,"1,198,964","1,142,031","1,157,189","1,162,135"
Knox,"187,404","189,096","169,237","183,586"
Lamar,"1,954,872","1,994,090","2,066,720","2,141,896"
Lamb,"906,970","771,216","797,444","755,461"
Lampasas,"416,814","412,937","416,145","429,103"
La Salle,"8,451,546","6,730,787","7,403,097","7,789,093"
Lavaca,"1,590,498","1,363,519","1,352,895","1,467,751"
Lee,"964,888","901,371","921,869","921,090"
Leon,"1,298,131","1,102,364","989,740","1,012,329"
Liberty,"1,764,267","1,728,899","1,783,167","1,898,796"
Limestone,"1,432,623","1,369,196","1,407,387","1,491,163"
Lipscomb,"850,093","761,476","816,938","735,518"
Live Oak,"2,430,555","2,184,215","2,076,604","2,006,611"
Llano,"625,570","646,414","644,286","638,468"
Loving,"2,388,278","4,188,570","6,586,304","9,557,235"
Lubbock,"11,775,829","11,955,144","12,154,015","12,523,583"
Lynn,"173,775","208,370","216,014","242,551"
McCulloch,"349,458","316,094","348,038","371,048"
McLennan,"10,826,522","11,405,062","11,913,463","12,347,805"
McMullen,"4,620,756","4,273,231","3,864,088","3,730,878"
Madison,"1,072,976","871,390","792,698","708,151"
Marion,"248,798","260,890","262,795","275,244"
Martin,"4,473,823","5,412,710","7,003,980","9,798,482"
Mason,"120,773","114,096","121,936","122,641"
Matagorda,"2,026,956","2,036,741","2,105,035","2,046,679"
Maverick,"1,396,862","1,403,362","1,440,038","1,487,369"
Medina,"828,986","818,153","852,698","872,982"
Menard,"79,642","71,076","64,680","65,819"
Midland,"18,765,716","18,797,042","22,611,280","26,786,004"
Milam,"973,728","997,226","940,908","632,583"
Mills,"147,621","154,603","152,337","183,690"
Mitchell,"542,100","541,563","530,060","504,203"
Montague,"1,237,808","1,078,040","1,100,417","998,712"
Montgomery,"20,106,661","20,235,028","21,356,063","22,369,829"
Moore,"1,767,806","1,753,526","1,765,193","1,682,157"
Morris,"744,205","639,957","638,229","686,443"
Motley,"43,182","39,311","39,910","41,500"
Nacogdoches,"2,468,571","2,420,273","2,514,106","2,596,775"
Navarro,"1,428,644","1,394,937","1,413,194","1,495,539"
Newton,"499,778","402,663","470,235","508,661"
Nolan,"944,540","947,748","954,905","954,245"
Nueces,"18,864,520","18,790,122","18,902,397","19,117,033"
Ochiltree,"1,916,909","1,557,060","1,538,049","1,509,261"
Oldham,"354,364","383,814","338,867","362,143"
Orange,"3,247,476","3,199,109","3,072,605","3,196,209"
Palo Pinto,"961,620","913,894","962,405","1,004,793"
Panola,"3,100,854","2,700,866","2,691,838","2,727,949"
Parker,"3,881,585","3,576,103","3,742,191","3,860,064"
Parmer,"1,582,166","1,329,234","1,442,347","1,469,742"
Pecos,"2,190,674","2,260,388","2,700,203","3,267,658"
Polk,"1,130,000","1,162,945","1,185,234","1,212,652"
Potter,"7,644,413","7,554,164","7,553,063","7,785,463"
Presidio,"226,048","254,849","226,442","232,643"
Rains,"168,723","169,157","172,798","183,329"
Randall,"3,454,369","3,409,412","3,407,628","3,539,417"
Reagan,"3,618,768","4,212,231","5,303,685","5,977,463"
Real,"74,725","72,070","72,339","75,348"
Red River,"242,555","248,770","244,805","243,294"
Reeves,"4,338,556","5,279,109","8,533,997","12,666,552"
Refugio,"572,250","530,982","516,840","516,280"
Roberts,"1,569,206","1,301,255","1,224,990","1,015,627"
Robertson,"2,473,354","2,265,218","2,307,161","2,082,871"
Rockwall,"2,560,844","2,725,128","2,877,797","3,002,097"
Runnels,"333,931","295,872","294,661","303,778"
Rusk,"2,831,492","2,708,872","2,732,838","2,822,763"
Sabine,"233,607","246,862","259,103","267,128"
San Augustine,"690,353","764,715","899,142","1,019,175"
San Jacinto,"328,488","332,439","341,352","341,508"
San Patricio,"2,377,615","2,393,458","2,273,991","2,279,014"
San Saba,"133,492","161,340","159,609","176,547"
Schleicher,"241,692","214,698","171,652","166,130"
Scurry,"2,592,419","2,371,985","2,468,602","2,474,422"
Shackelford,"306,506","268,784","274,939","289,696"
Shelby,"1,523,727","1,349,056","1,441,435","1,540,317"
Sherman,"588,101","453,877","471,846","314,943"
Smith,"9,799,342","9,796,738","9,904,909","10,179,462"
Somervell,"1,167,454","1,193,111","1,050,082","1,176,285"
Starr,"1,410,342","1,402,458","1,430,751","1,414,905"
Stephens,"563,405","540,730","562,682","544,689"
Sterling,"328,219","335,686","326,006","317,732"
Stonewall,"287,140","311,694","321,330","300,714"
Sutton,"591,057","509,699","510,276","489,548"
Swisher,"522,839","480,407","540,624","515,381"
Tarrant,"101,178,408","102,172,994","104,650,547","108,786,197"
Taylor,"5,753,114","5,680,692","5,797,155","6,073,954"
Terrell,"223,138","208,373","203,478","161,963"
Terry,"757,854","806,173","812,966","796,030"
Throckmorton,"182,817","156,479","152,133","156,903"
Titus,"1,774,627","1,769,587","1,917,585","1,627,165"
Tom Green,"5,043,054","4,916,517","5,038,041","5,285,701"
Travis,"88,672,286","92,381,463","96,695,331","102,486,231"
Trinity,"226,012","224,969","227,204","233,490"
Tyler,"476,390","467,929","444,520","434,587"
Upshur,"865,472","811,844","821,631","845,183"
Upton,"4,817,268","5,503,600","6,762,302","7,369,575"
Uvalde,"805,353","811,951","799,536","807,982"
Val Verde,"1,598,445","1,558,081","1,569,346","1,638,997"
Van Zandt,"1,008,858","1,016,336","1,036,470","1,063,085"
Victoria,"4,794,811","4,502,675","4,511,754","4,723,879"
Walker,"1,873,122","1,948,584","1,972,080","2,011,832"
Waller,"1,748,110","1,651,687","1,682,328","1,764,685"
Ward,"3,102,368","2,972,627","3,553,344","4,594,555"
Washington,"1,992,892","1,955,645","1,970,314","2,099,987"
Webb,"12,451,869","12,360,473","12,794,056","12,408,193"
Wharton,"1,706,323","1,583,284","1,723,864","1,826,855"
Wheeler,"1,600,612","1,298,696","1,253,636","1,094,573"
Wichita,"5,254,691","5,303,003","5,322,864","5,452,221"
Wilbarger,"674,909","697,392","676,360","753,154"
Willacy,"709,067","783,732","892,603","870,911"
Williamson,"19,670,590","20,619,895","22,046,015","22,865,231"
Wilson,"978,867","931,470","973,167","1,046,254"
Winkler,"935,699","920,409","1,283,883","1,824,256"
Wise,"4,241,062","3,912,276","3,729,284","3,759,232"
Wood,"1,599,054","1,580,861","1,657,467","1,643,737"
Yoakum,"2,681,087","2,941,461","3,179,886","3,385,988"
Young,"839,658","839,662","860,714","866,609"
Zapata,"986,772","809,255","883,293","820,224"
Zavala,"1,124,822","1,048,958","991,794","945,577"
,,,,
Utah,"141,703,271","147,413,991","153,129,113","158,799,690"
Beaver,"311,156","326,990","350,722","383,147"
Box Elder,"1,972,078","2,160,232","2,278,797","2,354,625"
Cache,"4,176,807","4,369,448","4,647,373","4,782,815"
Carbon,"1,013,939","963,920","976,785","1,000,015"
Daggett,"93,190","89,077","113,813","109,868"
Davis,"11,888,604","12,442,332","13,056,779","13,565,775"
Duchesne,"1,327,284","1,192,156","1,227,573","1,215,649"
Emery,"855,167","883,592","897,805","849,317"
Garfield,"201,605","206,823","214,992","210,584"
Grand,"449,621","468,759","512,421","523,773"
Iron,"1,288,849","1,336,554","1,445,031","1,502,630"
Juab,"427,014","414,182","422,644","472,695"
Kane,"260,077","266,590","277,757","280,325"
Millard,"851,667","799,234","831,588","773,810"
Morgan,"224,223","233,643","248,201","276,009"
Piute,"37,202","43,413","45,451","51,398"
Rich,"132,262","126,538","123,072","124,529"
Salt Lake,"73,418,343","75,927,259","77,891,878","80,666,565"
San Juan,"481,178","495,129","507,185","511,280"
Sanpete,"747,410","777,113","827,158","847,820"
Sevier,"847,557","857,597","904,793","905,558"
Summit,"2,569,665","2,683,203","2,909,870","2,973,451"
Tooele,"1,707,011","1,758,956","1,786,915","1,748,838"
Uintah,"2,325,107","2,251,219","2,348,376","2,301,653"
Utah,"20,137,982","21,592,926","22,615,026","24,192,262"
Wasatch,"644,393","698,720","768,681","794,527"
Washington,"4,277,364","4,650,364","5,116,834","5,347,692"
Wayne,"89,993","90,479","98,137","95,360"
Weber,"8,869,375","9,138,766","9,518,290","9,727,908"
,,,,
Vermont,"28,906,494","29,362,902","29,406,598","29,750,259"
Addison,"1,380,115","1,472,455","1,516,687","1,519,836"
Bennington,"1,467,579","1,484,291","1,485,393","1,523,183"
Caledonia,"999,109","1,023,885","1,013,422","1,024,166"
Chittenden,"10,037,015","10,219,292","10,255,569","10,465,797"
Essex,"135,261","135,443","135,031","136,408"
Franklin,"1,722,598","1,712,118","1,714,423","1,733,921"
Grand Isle,"153,171","153,095","154,619","155,832"
Lamoille,"1,053,355","1,057,117","1,060,763","1,100,848"
Orange,"734,986","741,965","732,653","754,084"
Orleans,"937,898","907,767","950,368","968,077"
Rutland,"2,455,640","2,476,726","2,480,657","2,469,821"
Washington,"3,311,846","3,438,468","3,418,699","3,403,063"
Windham,"2,242,212","2,210,648","2,167,610","2,176,247"
Windsor,"2,275,712","2,331,637","2,325,434","2,324,722"
,,,,
Virginia,"454,952,887","456,676,402","464,792,865","477,005,723"
Accomack,"2,623,569","2,592,466","2,671,816","2,794,309"
Amelia,"352,318","348,872","352,723","362,153"
Amherst,"813,986","799,299","776,604","782,954"
Appomattox,"275,525","276,581","279,439","286,994"
Arlington,"29,339,588","29,667,913","30,470,286","31,513,885"
Bath,"225,795","224,744","227,648","221,256"
Bedford,"1,856,994","1,826,377","1,820,302","1,864,725"
Bland,"226,323","222,809","228,528","237,566"
Botetourt,"1,213,197","1,181,407","1,194,825","1,275,072"
Brunswick,"331,026","655,539","780,106","788,340"
Buchanan,"1,000,620","916,210","1,052,232","1,018,337"
Buckingham,"524,228","520,568","502,298","550,077"
Caroline,"564,486","588,924","585,665","601,787"
Charles City,"176,861","176,027","179,004","182,232"
Charlotte,"266,707","272,531","268,946","268,696"
Chesterfield,"14,497,388","14,780,976","14,984,747","15,281,992"
Clarke,"452,760","448,246","463,562","471,328"
Craig,"93,317","92,685","93,827","96,426"
Culpeper,"1,563,887","1,589,180","1,604,599","1,643,291"
Cumberland,"182,636","186,881","191,690","190,048"
Dickenson,"522,810","462,556","510,199","490,047"
Essex,"342,998","345,539","342,465","349,564"
Fauquier,"2,512,702","2,524,219","2,541,578","2,648,940"
Floyd,"385,540","348,385","361,602","387,241"
Fluvanna,"731,891","727,095","771,955","766,325"
Franklin,"1,294,344","1,276,227","1,302,412","1,320,061"
Giles,"466,639","448,052","441,756","456,058"
Gloucester,"793,874","802,752","824,388","839,170"
Goochland,"1,829,582","1,826,867","2,000,507","1,952,541"
Grayson,"280,572","274,649","275,711","282,546"
Greene,"421,196","450,861","460,261","465,023"
Halifax,"1,396,749","1,378,420","1,277,654","1,263,884"
Hanover,"5,010,645","5,114,149","5,158,334","5,346,260"
Henrico,"24,069,678","24,244,164","24,762,945","25,115,683"
Highland,"109,024","101,481","97,697","103,304"
Isle of Wight,"1,497,018","1,480,525","1,504,248","1,608,390"
King and Queen,"128,625","128,167","129,939","133,611"
King George,"1,611,555","1,647,267","1,681,384","1,734,726"
King William,"418,688","424,056","426,047","437,413"
Lancaster,"394,358","398,050","402,000","407,646"
Lee,"444,477","452,252","450,937","453,917"
Loudoun,"21,094,147","21,787,442","23,074,194","24,514,020"
Louisa,"2,103,313","1,950,034","2,002,348","2,077,558"
Lunenburg,"247,351","244,722","243,800","248,062"
Madison,"382,445","373,604","348,052","351,765"
Mathews,"175,691","174,844","174,411","181,338"
Mecklenburg,"1,101,204","1,094,281","1,087,081","1,099,718"
Middlesex,"312,420","312,593","325,243","331,211"
Nelson,"524,377","524,915","529,369","550,659"
New Kent,"381,714","397,631","403,267","418,780"
Northampton,"502,343","486,627","467,609","467,069"
Northumberland,"431,274","444,280","461,966","483,382"
Nottoway,"478,252","467,630","468,088","478,813"
Orange,"870,074","901,967","904,708","930,221"
Page,"608,378","613,459","607,241","620,983"
Patrick,"429,869","421,895","425,417","426,209"
Powhatan,"648,092","668,612","670,391","675,129"
Prince Edward,"677,145","692,424","698,941","714,007"
Pulaski,"1,168,884","1,080,600","1,099,433","1,202,833"
Rappahannock,"268,772","267,250","275,898","248,247"
Richmond,"251,821","253,847","252,849","261,629"
Russell,"706,809","687,662","679,630","702,183"
Scott,"442,923","431,579","437,264","455,265"
Shenandoah,"1,814,521","1,802,589","1,845,788","1,912,088"
Smyth,"1,096,030","1,059,725","1,038,805","1,066,740"
Stafford,"4,439,820","4,560,335","4,678,555","4,847,069"
Surry,"1,010,975","1,107,495","1,120,894","1,079,512"
Sussex,"343,783","334,938","337,021","337,619"
Tazewell,"1,592,501","1,564,034","1,687,526","1,678,521"
Warren,"1,600,420","1,722,197","1,778,793","1,791,015"
Westmoreland,"345,754","347,614","348,870","362,088"
Wythe,"1,629,260","1,603,056","1,652,204","1,700,187"
Independent cities:,,,,
Alexandria,"14,154,087","14,123,550","14,060,819","14,046,724"
Chesapeake,"9,086,819","9,194,221","9,402,652","9,671,615"
Hampton,"6,429,391","6,430,945","6,594,347","6,525,663"
Newport News,"11,437,573","11,241,681","11,548,368","12,053,270"
Norfolk,"20,589,676","20,485,300","20,296,553","20,628,226"
Portsmouth,"5,582,855","5,502,600","5,582,074","5,719,664"
Richmond,"18,631,063","18,037,269","18,332,497","18,851,790"
Roanoke,"6,552,223","6,590,297","6,535,194","6,633,697"
Suffolk,"4,163,444","4,197,506","4,259,949","4,409,998"
Virginia Beach,"19,737,887","19,584,623","19,751,882","20,081,231"
Combination areas1:,,,,
Albemarle + Charlottesville,"9,508,704","9,736,461","10,178,056","10,415,551"
Alleghany + Covington,"918,853","920,347","889,752","920,780"
"Augusta, Staunton + Waynesboro","4,706,424","4,706,466","4,842,978","4,902,654"
Campbell + Lynchburg,"6,272,954","6,268,368","6,371,776","6,546,103"
Carroll + Galax,"935,528","930,255","941,368","936,043"
"Dinwiddie, Colonial Heights + Petersburg","2,617,604","2,615,293","2,628,517","2,672,846"
"Fairfax, Fairfax City + Falls Church","98,383,113","99,252,344","100,825,505","104,001,303"
Frederick + Winchester,"5,286,616","5,335,038","5,500,954","5,656,457"
Greensville + Emporia,"766,374","744,165","786,715","844,349"
Henry + Martinsville,"2,094,279","2,106,958","2,108,303","2,139,523"
James City + Williamsburg,"3,910,989","3,923,685","3,981,736","4,089,508"
Montgomery + Radford,"5,009,577","5,132,628","5,226,711","5,365,957"
Pittsylvania + Danville,"3,357,709","3,320,142","3,341,250","3,380,090"
Prince George + Hopewell,"3,704,863","3,687,048","3,754,890","3,749,605"
"Prince William, Manassas + Manassas Park","16,906,894","17,268,698","17,479,834","18,138,897"
Roanoke + Salem,"6,015,596","5,700,288","5,664,445","5,793,223"
"Rockbridge, Buena Vista + Lexington","1,093,080","1,068,921","1,051,920","1,074,560"
Rockingham + Harrisonburg,"5,920,168","5,871,118","6,058,956","6,145,145"
Southampton + Franklin,"699,225","699,507","731,736","703,487"
Spotsylvania + Fredericksburg,"4,972,476","5,052,012","5,168,862","5,330,562"
Washington + Bristol,"2,638,184","2,555,340","2,528,250","2,563,018"
Wise + Norton,"1,599,742","1,525,804","1,559,653","1,542,134"
York + Poquoson,"2,331,257","2,254,327","2,251,861","2,332,335"
,,,,
Washington,"444,318,461","459,754,336","483,773,411","511,672,438"
Adams,"927,096","880,151","925,453","925,815"
Asotin,"603,609","614,641","650,999","682,975"
Benton,"9,610,089","9,964,735","10,163,070","10,378,129"
Chelan,"3,826,394","3,939,113","4,114,511","4,177,800"
Clallam,"2,234,974","2,230,301","2,296,722","2,375,614"
Clark,"15,927,492","16,499,639","17,438,856","18,366,219"
Columbia,"394,024","406,114","439,302","433,777"
Cowlitz,"4,251,502","4,234,614","4,351,020","4,511,489"
Douglas,"1,688,892","1,743,681","1,822,594","1,799,803"
Ferry,"200,034","198,653","196,334","193,326"
Franklin,"3,313,166","3,384,442","3,418,623","3,557,186"
Garfield,"140,975","141,318","134,746","145,430"
Grant,"5,326,784","5,513,180","5,616,221","5,472,287"
Grays Harbor,"2,343,947","2,325,863","2,419,428","2,464,139"
Island,"2,550,445","2,626,389","2,697,664","2,779,987"
Jefferson,"859,913","876,162","930,558","957,283"
King,"232,148,577","241,900,372","257,453,872","277,122,158"
Kitsap,"10,240,128","10,651,098","11,035,875","11,512,963"
Kittitas,"1,433,210","1,511,912","1,567,079","1,635,688"
Klickitat,"1,063,666","1,097,871","1,141,146","1,158,803"
Lewis,"3,035,286","3,089,665","3,358,472","3,403,303"
Lincoln,"496,262","487,238","476,369","481,953"
Mason,"1,390,049","1,403,255","1,443,303","1,497,857"
Okanogan,"1,329,896","1,405,345","1,426,815","1,408,006"
Pacific,"664,850","672,048","680,815","698,095"
Pend Oreille,"550,221","581,329","582,182","605,133"
Pierce,"35,627,420","36,441,699","38,099,158","39,615,989"
San Juan,"601,531","621,278","642,382","667,122"
Skagit,"6,335,658","6,596,820","7,122,050","7,469,437"
Skamania,"267,194","272,705","284,778","275,727"
Snohomish,"36,567,210","36,772,962","37,326,140","39,010,008"
Spokane,"21,170,521","21,689,644","22,492,788","23,475,758"
Stevens,"1,042,521","1,046,390","1,066,041","1,110,691"
Thurston,"10,799,020","11,279,626","11,737,238","12,398,258"
Wahkiakum,"97,635","96,746","99,915","104,637"
Walla Walla,"2,807,891","2,908,170","2,995,360","3,068,776"
Whatcom,"11,419,854","12,196,675","13,306,016","13,515,737"
Whitman,"2,187,776","2,233,525","2,391,017","2,549,592"
Yakima,"8,923,543","9,340,102","9,618,897","9,883,248"
,,,,
West Virginia,"69,761,073","68,901,200","69,903,915","71,481,396"
Barbour,"386,089","370,812","392,656","388,785"
Berkeley,"2,776,287","2,826,002","3,026,375","3,093,871"
Boone,"863,515","676,301","660,137","663,228"
Braxton,"294,995","287,681","280,564","280,470"
Brooke,"864,081","804,058","859,569","860,118"
Cabell,"4,342,630","4,338,473","4,298,920","4,388,563"
Calhoun,"119,625","112,183","115,385","117,746"
Clay,"126,967","118,219","114,741","108,654"
Doddridge,"1,273,491","1,237,007","1,475,859","1,360,515"
Fayette,"999,066","958,829","986,998","996,404"
Gilmer,"222,655","194,230","189,395","181,263"
Grant,"476,701","488,678","437,365","416,912"
Greenbrier,"1,058,789","1,000,850","1,021,714","1,043,661"
Hampshire,"334,042","325,940","309,021","314,431"
Hancock,"1,216,923","1,233,022","1,285,557","1,305,830"
Hardy,"370,471","369,206","370,044","373,462"
Harrison,"4,052,075","4,048,348","4,158,977","4,373,281"
Jackson,"744,709","738,935","729,491","1,360,582"
Jefferson,"1,370,194","1,380,993","1,386,447","1,406,696"
Kanawha,"9,996,805","9,893,973","9,728,535","9,715,321"
Lewis,"686,562","621,233","608,458","664,888"
Lincoln,"261,793","255,429","248,791","223,656"
Logan,"1,218,994","1,136,819","1,220,769","1,276,711"
McDowell,"552,506","519,673","573,971","562,653"
Marion,"2,233,791","2,096,605","2,191,170","2,152,179"
Marshall,"2,506,774","2,482,473","2,590,606","2,826,306"
Mason,"855,505","863,847","812,271","798,847"
Mercer,"1,595,679","1,548,247","1,541,660","1,548,865"
Mineral,"713,988","713,211","709,551","745,387"
Mingo,"676,070","600,432","688,449","698,997"
Monongalia,"6,110,786","6,134,125","6,188,533","6,244,073"
Monroe,"196,988","202,755","199,114","203,348"
Morgan,"239,950","240,785","238,699","251,232"
Nicholas,"611,163","568,981","562,725","590,546"
Ohio,"2,657,029","2,830,784","3,048,267","3,044,572"
Pendleton,"137,983","130,038","142,951","128,924"
Pleasants,"420,367","417,484","432,719","434,110"
Pocahontas,"242,887","235,105","236,410","238,487"
Preston,"636,818","625,005","626,661","626,549"
Putnam,"2,490,332","2,596,869","2,593,084","2,737,539"
Raleigh,"2,790,392","2,654,465","2,758,922","2,823,696"
Randolph,"775,694","768,431","751,835","782,930"
Ritchie,"564,225","646,683","701,539","678,191"
Roane,"272,988","270,681","269,439","277,418"
Summers,"209,799","203,692","197,549","196,837"
Taylor,"472,076","499,030","495,307","485,305"
Tucker,"266,519","269,296","269,534","264,631"
Tyler,"512,989","592,086","713,024","666,299"
Upshur,"713,801","669,808","656,900","672,336"
Wayne,"980,217","926,851","912,964","925,211"
Webster,"207,484","161,337","146,627","154,638"
Wetzel,"1,019,613","1,017,138","1,008,718","948,666"
Wirt,"59,799","58,728","55,636","58,143"
Wood,"3,384,465","3,376,393","3,301,018","3,350,079"
Wyoming,"626,895","559,272","582,370","587,656"
,,,,
Wisconsin,"287,164,320","290,750,202","294,657,127","301,622,690"
Adams,"436,036","414,439","435,705","448,796"
Ashland,"649,921","669,180","682,143","679,351"
Barron,"2,003,191","1,784,670","1,861,128","1,993,162"
Bayfield,"360,214","357,846","364,594","398,994"
Brown,"16,049,449","16,375,756","16,432,400","16,864,677"
Buffalo,"464,486","500,613","478,447","555,108"
Burnett,"449,575","446,329","449,308","477,629"
Calumet,"1,523,785","1,538,272","1,518,032","1,561,000"
Chippewa,"2,577,837","2,461,840","2,546,733","2,559,488"
Clark,"1,293,830","1,362,347","1,394,252","1,337,916"
